[13-Jan-2024 11:54:24 UTC] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\MAMP\htdocs\motaphoto1\wp-content\plugins\advanced-custom-fields\includes\fields\class-acf-field-accordion.php on line 3
[13-Jan-2024 12:12:54 UTC] PHP Warning:  Attempt to read property "title" on null in C:\MAMP\htdocs\motaphoto1\wp-includes\class-wp-customize-widgets.php on line 905
[13-Jan-2024 12:14:55 UTC] PHP Warning:  Attempt to read property "title" on null in C:\MAMP\htdocs\motaphoto1\wp-includes\class-wp-customize-widgets.php on line 905
[13-Jan-2024 12:26:57 UTC] PHP Deprecated:  La fonction print_emoji_styles est obsolète depuis la version 6.4.0 ! Utilisez wp_enqueue_emoji_styles à la place. in C:\MAMP\htdocs\motaphoto1\wp-includes\functions.php on line 6031
[13-Jan-2024 13:47:54 UTC] PHP Deprecated:  La fonction print_emoji_styles est obsolète depuis la version 6.4.0 ! Utilisez wp_enqueue_emoji_styles à la place. in C:\MAMP\htdocs\motaphoto1\wp-includes\functions.php on line 6031
[14-Jan-2024 11:11:21 UTC] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\MAMP\htdocs\motaphoto1\wp-content\plugins\elementor\app\modules\import-export\module.php on line 16
[16-Jan-2024 12:58:32 UTC] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\MAMP\htdocs\motaphoto1\wp-includes\functions.php on line 2124
[16-Jan-2024 13:03:36 UTC] PHP Parse error:  syntax error, unexpected end of file in C:\MAMP\htdocs\motaphoto1\wp-content\themes\motaphoto1\single-photo.php on line 102
[16-Jan-2024 13:03:48 UTC] PHP Parse error:  syntax error, unexpected end of file in C:\MAMP\htdocs\motaphoto1\wp-content\themes\motaphoto1\single-photo.php on line 102
[16-Jan-2024 13:06:04 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 65028096 bytes) in C:\MAMP\htdocs\motaphoto1\wp-includes\post-thumbnail-template.php on line 92
[16-Jan-2024 13:06:04 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 65028096 bytes) in C:\MAMP\htdocs\motaphoto1\wp-includes\functions.php on line 3844
[16-Jan-2024 13:06:04 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 65011840 bytes) in Unknown on line 0
[16-Jan-2024 13:11:03 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 65028096 bytes) in C:\MAMP\htdocs\motaphoto1\wp-content\themes\motaphoto1\single-photo.php on line 24
[16-Jan-2024 13:11:03 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 65028096 bytes) in C:\MAMP\htdocs\motaphoto1\wp-includes\functions.php on line 3834
[16-Jan-2024 13:11:03 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 65011920 bytes) in Unknown on line 0
[17-Jan-2024 15:45:21 UTC] PHP Notice:  La fonction wp_localize_script a été appelée de façon incorrecte. Les scripts et les styles ne peuvent pas être enregistrés ou ajoutés avant le déclenchement des crochets wp_enqueue_scripts, admin_enqueue_scripts ou login_enqueue_scripts. Cette notification a été déclenchée par my_loadmore_btn. Veuillez lire <a>Débogage dans WordPress</a> (en) pour plus d’informations. (Ce message a été ajouté à la version 3.3.0.) in C:\MAMP\htdocs\motaphoto1\wp-includes\functions.php on line 6031
[17-Jan-2024 15:45:33 UTC] PHP Notice:  La fonction wp_localize_script a été appelée de façon incorrecte. Les scripts et les styles ne peuvent pas être enregistrés ou ajoutés avant le déclenchement des crochets wp_enqueue_scripts, admin_enqueue_scripts ou login_enqueue_scripts. Cette notification a été déclenchée par my_loadmore_btn. Veuillez lire <a>Débogage dans WordPress</a> (en) pour plus d’informations. (Ce message a été ajouté à la version 3.3.0.) in C:\MAMP\htdocs\motaphoto1\wp-includes\functions.php on line 6031
[17-Jan-2024 15:45:38 UTC] PHP Notice:  La fonction wp_localize_script a été appelée de façon incorrecte. Les scripts et les styles ne peuvent pas être enregistrés ou ajoutés avant le déclenchement des crochets wp_enqueue_scripts, admin_enqueue_scripts ou login_enqueue_scripts. Cette notification a été déclenchée par my_loadmore_btn. Veuillez lire <a>Débogage dans WordPress</a> (en) pour plus d’informations. (Ce message a été ajouté à la version 3.3.0.) in C:\MAMP\htdocs\motaphoto1\wp-includes\functions.php on line 6031
